应用名,分类,应用简介
百度极速版,系统安全,百度极速版，流畅体验，不卡顿。【新增功能更实用】新增扫一扫、游戏、插件中心，功能更齐全。【极速搜索更高效】简约搜索框，轻量设计，体验更流畅，结果更清晰。【精选内容更懂你】实时新闻、资讯视频、热门评论不间断，定制推荐更准确。【界面简洁更轻快】资讯分类标签，搭配简约搜索栏设计，更快进入详情，图文搭配更简单。【小说视频动漫】汇集热门小说、优质视频、动漫新番，个性化推荐你更喜欢的内容，免费体验。【任务系统上线】任务系统全新上线，邀请好友做任务，金币自动兑换，天天领现金。
讯飞输入法,系统安全,讯飞输入法，1分钟400字，语音输入带你飞！语音准确，输入流畅，手写快捷，还有海量键盘皮肤、表情包、颜文字，让输入有趣有科技！===多种输入方式===【方言语音输入】支持23种方言输入，语音识别超准的【智能语音输入】中英混合语音免切换，高效输入更有智慧【智能拍照输入】智能OCR文字扫描识别，拍照取字让你快捷输入【手写输入】拼音键盘上可直接手写，不认识的字还有拼音标注【拼音输入】超大词库及时更新，输入候选更准确===BiuBiu神器，趣味聊天===【BiuBiu键盘】不用打字的戏精键盘，聊天怼人/花样表白/饭圈专属【BiuBiu趣聊】支持单字刷屏、说三遍、密语、中英夹杂等聊天模式【聊天气泡】自定义聊天气泡，群聊秀出真自我===个性功能，时尚输入===【键盘皮肤】游戏动漫时尚清新，多款个性皮肤任你挑【自定义皮肤】超多动画、按键、字体，更有盲打键盘DIY【音乐键盘】挑一首喜欢的音乐，打造一款会唱歌的键盘吧【个性字体】换个字体换个心情，从此打字萌萌哒【斗图神器】打字就出表情包，聊天斗图如有神助【表情搜索】输入关键词搜索，轻松get更多有趣表情包【emoji表情】呆萌新潮搞怪emoji，长按连发更有趣【卖萌颜文字】会卖萌的颜文字，语言表达不仅有颜更有趣===更多输入技能===【祝福语】超多实用文字祝福语，更有花样视频模板等你玩转【键盘计算器】数字键盘变身计算器，计算又快又准【游戏键盘】匹配游戏场景，定制语音沟通更快捷【快捷翻译】输入内容即可实时翻译，跨国沟通无压力【语音翻译】中英日韩随声互译，翻译效率杠杠滴【离线语音】弱网状态时，语音输入照样识别【莫得键盘】没有键盘，用语音口令输入，解放你的双手快切换成讯飞输入法，体验实用好玩的输入技能吧！===期待你的声音===微信官方公众号：讯飞输入法微博官方账号：@讯飞输入法用户反馈QQ群：390619143或者打开讯飞输入法APP，点击[我的]-[设置]-[意见反馈]每一条消息我们都会认真阅读，真诚期待您的反馈哦！
搜狗输入法,系统安全,搜狗输入法，拥有高效优质中文词库，输入更加准确，智能。搜狗智能旺仔带你用AI表达，斗图，妙语，输入更加有趣。******特色功能******【搜狗专属高效词库】搜狗多年积累，百万级中文系统词库，输入更准确【优选云词库】新词汇、热门网络语、热门流行语、饭圈新密语实时更新，跟上时髦的你【智能长句输入】只需输入几个字母，就能猜中你要说的话，准确补全，省时省力【AI智能汪仔】AI输入用搜狗，智能配图、巧变妙语、趣味发送，让你的输入更加有趣【语音输入】更快更准的语音输入，没有网络，依然准确识别，更支持中英混说，效率upup【斗图表情】暴漫沙雕搞笑萌娃宠，更有套路、小表情特色专区，助你打遍天下【叨叨社区】搜狗全新话题社区，刷热门话题，学高情商表达，原来可以这么说******其他亮点功能******【多种输入方式】高效支持拼音、手写输入、语音输入、笔画输入、五笔输入、文字扫描、滑行输入，跨屏输入等多种输入方式【智能纠错引擎】快速输入无压力，手滑误输也不怕【中英混输能力】高效混输能力，不用切换键盘，轻松完成中文、英文、数字、网址邮箱的输入【主题皮肤】热门输入法皮肤，更有盲打，盲盒和重力等百变形式，玩转你的个性键盘【皮肤制造机】皮肤DIY神器，爆款素材随心选，定制你的热爱【贴心手写输入】支持多字叠写，短句连写，手写混输，笔锋优美，所写即所得；【个性化语音识别】您输入过的词识别更准【语音变声】聊天变声，小姐姐随意撩，小哥哥恋爱吗我会萝莉音【语音翻译】说话秒变外语，随时随地用中文与外国人轻松聊天【快捷翻译】边打字边翻译，追星没压力【复制翻译】点哪里翻译哪里，翻译效率超级棒【文字扫描】拍照取字，打字不用手，拍到哪里识别到哪里【字体商城】键盘字体随意换，让你的字体与众不同【音乐键盘】明星曲库，抖音神曲，做一个自带BGM的潮咖【聊天气泡】聊天消息自带亮点，美化你的对话框【表情搜索】输入搜索关键词，帮你找到更多新鲜有趣的表情。热门表情，总有一款适合你~【emoji表情】热门emoji表情，更有多肤色、连发、组合、拼装新玩法，emoji也可玩出新高度【小语种键盘】已支持日语，韩语，西语，法语，俄语，德语，意大利语，阿拉伯语，印尼语，马来语，仓颉，粤语，注音，藏语，维语键盘，敬请期待更多语言搜狗输入法，高效的手机输入法！
迅雷,系统安全,迅雷7.0云盘功能全新上线！一键释放手机存储空间，为用户提供专属私密空间。【云盘超大存储空间】&nbsp;会员专享6T云盘，为您安全存储文件，6T空间可存3000部高清视频文件。【手机电脑多端同步】&nbsp;文件列表多端同步，手机电脑都可浏览云端文件，随时随地畅享您的专属云盘！【专业上传下载】&nbsp;迅雷专业加速通道，无需漫长等待，专注更好的速度体验！一键转存马上查看！【高清在线播放】&nbsp;云盘视频内容直接播放，畅享倍速播放、高清画质，陪您度过每一段美好时光！欢迎关注我们的微信公众号：shoujixunlei。如果您在使用中遇到任何问题，或者有任何意见，请邮箱联系xlkefu@xunlei.com&nbsp;或联系客服https://help.xunlei.com
360免费WiFi,系统安全,"360免费WiFi是一款安卓端的WiFi管理软件,通过对手机所连接WiFi的属性进行分析，检测联网环境与各项参数配置，提供WiFi安全检测、网络测速等功能，帮助用户更便捷的管理和使用WiFi。海量WiFi一键连——好快！网络速度随时测——真准！网络安全时时查——放心！手机空间放心清——好用！安装包小秒安装——快用！"
QQ同步助手,系统安全,*&nbsp;国内知名数字生活媒体AppSo推荐【QQ同步助手，备份你的手机生活！】换手机必备神器！手机资料自动备份，安全保护防丢失！一键备份手机通讯录、软件、文档到云端的超实用工具！------手机随便换，资料不丢失------&nbsp;【智能管理通讯录】备份管理：手机通讯录一键备份至网络，随时同步回手机&nbsp;电话导入：号码批量导入、删改、导出，更高效的整理方案智能检测：自动检测已失效号码和重复联系人，智能清理合并误删找回：通过回收站或时光机，随时找回误删的联系人生日提醒：智能匹配通讯录中联系人生日，可一键设置提醒【手机资料管理】文件管理：微信QQ聊天文件备份，智能分类快速查找PDF工具：PDF转Word，支持Office多种格式资料备份：短信、通话记录、照片备份，&nbsp;一站式备份换机体验软件恢复：备份常用软件，月光宝盒快速找回手机清理：垃圾短信、微信缓存、闲余文件清理，瞬间瘦身流畅如初【保护资料安全】自动备份：通讯录自动备份，资料保护更省心帐号保护：新手机同步资料，短信提醒预警-----------------------------------交流反馈：APP设置页--我要反馈微博：http://weibo.com/qqpim&nbsp;微信公众号：wesynec
腾讯手机管家,系统安全,"""腾讯手机管家专注手机骚扰拦截，动态守护手机安全，深度清理微信、QQ缓存，让手机体积减半，拒绝卡慢。更有海量游戏礼包，腾讯大王卡流量特权等你拿。---认真服务---&nbsp;【骚扰拦截】智能拦截骚扰电话，过滤诈骗垃圾短信&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;【微信清理】个性清理微信缓存，参加公益赢大奖【游戏加速】游戏启动一键加速，助你超神五杀不卡顿【免费WiFi】全国4亿免费WiFi，随时随地畅享连接【网络加速】支持WiFi、移动网络加速，提升30%【记账助手】信用卡自动记账单，教你还款赚钱---贴心守护---【账号保护】微信QQ独家支持，帐号保护安心无忧【病毒查杀】安全防护全新升级，软件云查风险提醒【支付保护】手机购物险象环生，移动支付安全护航&nbsp;&nbsp;&nbsp;---为你创造更多可能---【乐享不停】来电秀、照片清理、秘拍、带你发掘更多手机乐趣&nbsp;&nbsp;【安全可靠】手机防盗、检测网速、电池管家、安全登录QQ、WiFi安全检测，隐私保护、应用保护为您360度安全护航。==========联系方式==========官方微信：txsjgj粉丝公众号：TXguanfan官方微博：@腾讯手机管家官方QQ交流群：24566276"""
2345浏览器,系统安全,2345浏览器送钱啦！10亿现金大派送，新用户专享5元红包，100%可领取提现！2345倾力推出的一款极速实用的移动端浏览器，安装包超小，超低内存占用，极速轻巧！安全省流！支持主流各大搜索引擎，内置海量新闻头条、小说影视、网址导航，满足你90%的手机上网需求！【新人专享5元红包】来就送，100%可领取哦！【极速轻巧】超小安装包，更低内存占用！&nbsp;【头条资讯】汇聚海量资讯，聚合阅读。7*24小时时事热点，一手掌握！&nbsp;【超实用】支持各大主流搜索引擎，搜索更快更准确！
百度输入法,系统安全,【主要功能】【YAN键盘】颜/言/研新皮肤上线，多图轮播、文案百变，每次输入都有小惊喜；【自定义皮肤】超多素材，支持多图DIY、百变文案DIY；【智能预测】根据场景猜你想说，智能补全整句；【AI智能输入】自适应输入场景，出词更智能；【AI语音输入】支持中英混合免切换、方言免切换，更快；【离线语音】断网弱网语音输入一样准；【AR表情】通过人脸识别技术制作多种逗趣表情；【超大系统词库】50万系统词库，输入流畅，选词准确；【人工智能引擎】智能整句输入算法加纠错算法，提高准确率；【快捷搜索】边聊边搜，一步直达；【游戏键盘】游戏短语、悬浮语音、和谐转换三大神器，助力上分、超神必备；【懒人短语】内置多个短语分类，并支持添加个人常用语；【自动同步】用户网络词、设置项、个性短语云端备份自动同步；【超强中英混输】中文、英文、数字、符号自由混输；【智能手写】支持叠写；边写边出字，识别速度快；毛笔字效果；【超多输入方式】支持拼音、英文、笔画、五笔、语音等多种输入方式;【语音速记】声纹区分角色技术在输入法登陆；
QQ安全中心,系统安全,QQ安全中心手持版是腾讯公司推出的QQ帐号保护软件。让您的QQ帐号、Q币和游戏装备等享受银行级别的安全保护，还能随时掌握QQ帐号信息。主要功能:1、安全通知帐号消费、异常，一切尽在掌握！2、QQ登录查询最近7天登录足迹，一查便知。3、帐号锁开关自如，全面掌控QQ登录。每次锁定最长15天，到期后自动解锁。4、游戏锁下线锁号，装备无忧。每次锁定最长7天，到期后自动解锁。5、一键改密改密能有多快，用过的，都懂的！6、手机令牌动态密码每30秒产生一组6位动态密码。会变的密码，才会让人心安。
手机克隆,系统安全,手机克隆是华为提供的手机一键搬家工具。&nbsp;有如下特点：&nbsp;1.一键换机&nbsp;无论是联系人、短信等个人信息，还是照片、音乐、视频等重要数据，均可以轻松从旧手机一键轻松导到新手机，换机更方便。&nbsp;2.不耗流量&nbsp;无需连接外部Wi-Fi，也不用消耗2G/3G流量，完全免费&nbsp;3.操作简单&nbsp;不用连接电脑，摆脱数据线，无需注册登录。&nbsp;4.速度超快&nbsp;20米内近场直连，传输速度远超蓝牙数十倍。...&nbsp;展开
360省电王,系统安全,全新清爽界面&nbsp;&nbsp;&nbsp;·&nbsp;&nbsp;&nbsp;专业省电技术&nbsp;·&nbsp;&nbsp;强大省电效果360省电王，更专业的省电神器，手机待机多一天不仅有更全面省电功能：一键省电：一键优化耗电项目&nbsp;&nbsp;&nbsp;待机时间迅速延长锁屏休眠：锁屏自动休眠省电&nbsp;&nbsp;&nbsp;让待机如关机一般省电模式：按需任意切换模式&nbsp;&nbsp;&nbsp;省电成为手机常态耗电排行：精算应用耗电占比&nbsp;&nbsp;&nbsp;轻松管理耗电应用&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;还有更细致体验：【桌面快捷省电】让省电更快速更便捷【电池信息】直观展示，详细了解电池状态【CPU智能省电】自动调节CPU频率，降低耗电【锁屏悬浮窗】锁屏显示不打扰，待机时间实时看【三段式充电】科学充电方法，有效延长电池寿命【提醒设置】当电量过低，电池过热，充满电时，会贴心提醒360省电王，让电量走的慢一点~O(∩_∩)O备注：“手机待机多一天”是指在我们公司实验室测试下对比nexus5、三星盖世note4、华为荣耀6X等型号的12种手机，开启“360省电王”并同时开启同样种类和数量的手机应用后得出测试结果待机时间增加1天以上。
QQ输入法,系统安全,QQ输入法是一款高效、智能的手机输入软件。能够支持多种输入：拼音、英文、五笔、笔画、手写、语音、数字、符号，配合整句输入、智能纠错、云候选等扩展功能，更加便捷的满足了不同用户的需求。QQ输入法通过多项技术，为用户带来更快、更稳定、更流畅的输入体验。*******特色功能*******【语音变声】一键变声，多种声线，让好友震惊一下【语音包】魔性伪音，丰富搞怪素材，皮着聊很开心【神配图】斗图新利器，输入的每个字都有表情包【智能语音】中英混输，说话实时转文字【闪电萌语】怼人撩妹，定制专属，一秒上屏神助攻【写真皮肤】海量皮肤，破键而出，让你的皮肤全场嗨【DIY皮肤】千种搭配，一键发布，壁纸、多彩、写真都能制作呦【快捷翻译】中英、中日、中韩实时互译，跨国聊天无压力【斗图表情】热门表情，动态GIF，海量斗图一键搜【云剪切板】复制内容自动收录，登录同步更便捷
搜狗浏览器极速版,系统安全,搜狗浏览器极速版，全新升级，依托搜狗的人工智能、大数据处理等核心技术，提供丰富的视频资源、小说书库、小游戏和搜索能力，带给您新的上网体验。更有海量红包等你来拿！【视频】热点内容、达人短片、影视资源，应有尽有看个爽。【小说】霸道总裁、靓女娇妻、修仙侠侣，精彩书库看不够。【红包】新人红包、海量任务、随时提现，随玩随用赚不停。欢迎加入我们的产品沟通基地：搜狗浏览器极速版客服qq&nbsp;3354383525，抢先体验新功能！
360手机助手,系统安全,360手机助手，您手机上的软件管家！数十万款Android软件和游戏供您下载，360安全中心检测全方位安全保障。每天推荐最火热的应用和好玩的游戏，让您轻松成为时尚的玩机达人。安装360手机助手，瞬间下软件，畅玩编辑精选游戏，随时管理手机软件，是您Android手机的必备！小编联合粉丝建了个用户交流（反馈/建议）QQ群：446718762，欢迎感兴趣的朋友加入~
互传,系统安全,《互传》超过两亿人使用的跨平台零流量文件传输利器。无论身处什么环境，使用互传极速分享音乐、电影、应用、图片。Android和Android，&nbsp;Android和iPhone，手机和电脑，互传支持各种形式的连接传输。【一键换机】使用互传一键将旧手机中的数据完美拷贝到新手机中，联系人、那些年的老照片、爱人的聊天记录、下载的应用，数据迁移从此不再是难题。【网页传】手机电脑无线连接，各种类型文件随心传输，对数据线说拜拜，办公好助手，轻松又省心。【资料备份】完美备份手机中的资料，从此数据再不丢失。一张照片一首歌，夕阳下奔跑的青春我们帮您珍藏。【iPhone换机】将iPhone中的数据迁移到Android手机。别再担心iPhone中的照片联系人丢失，请放心，把这个难题交给互传。
安兔兔评测3D,系统安全,新的安兔兔评测3D内共包含3个GPU测试场景，分别为：1、基于Vulkan技术的GPU测试场景：《笑傲江湖》；2、基于Vulkan技术的GPU测试场景：《兵马俑》；3、基于OpenGL&nbsp;ES&nbsp;3.2技术的GPU测试场景《精炼厂》；新版本的3D测试场景均基于Off-Screen进行测试，更加真实公平的反映出设备的游戏性能。
换机助手,系统安全,*&nbsp;国内知名数字生活媒体&nbsp;AppSo&nbsp;推荐换机助手，腾讯团队专业打造的一款QQ同步助手单品：-----功能特点-----【零流量】无需联网，不耗费手机流量，传输速度快。【跨平台】支持各主流品牌和厂商设备极速秒传。【免数据线】&nbsp;不用数据线，不同手机间轻松隔空传资料。【微信资料搬家】重要微信文件防丢失，支持各主流类型文件文档。【一键换机】一键轻松换，支持通讯录、软件、短信、文件、通话记录、书签、图片、音乐、视频、日程等多种数据传输。【安全换机】仅限于两台手机之间建立连接传输，杜绝第三方进行数据截取，360°安全保护手机隐私。-----使用简介-----步骤1：新旧两款手机，都安装换机助手步骤2：新手机选择'新机接收'，旧手机选择'旧机发送'，分别选择系统类型步骤3：选择相应的文件类型，再进行扫码连接，等候片刻，即可完成传输！
360极速浏览器,系统安全,极速重新启航了！变化很大！无广告还是根本！【全能播放器】支持倍速、投屏、小窗、下载、手势、截Gif动图等【小说阅读器】支持上下左右翻页模式、全新UI丝滑顺畅【自定义菜单】菜单功能可以自己布局，常用功能放在手边其他新增功能不一一细说，自行体验。用着不跟手？不要慌！第一版也许有很多不完美的地方，后续版本接踵而至！反馈建议已全面放开，每条都会看！
